P=0.24999999999975, blue=500000000000, delta=500000000000
P=7.656000000007656e-21, blue=-87.0, delta=1.0
P=7.832000000007832e-21, blue=-88.0, delta=1.0
P=8.010000000008009e-21, blue=-89.0, delta=1.0
P=8.19000000000819e-21, blue=-90.0, delta=1.0
P=8.372000000008372e-21, blue=-91.0, delta=1.0
P=8.556000000008557e-21, blue=-92.0, delta=1.0
P=8.742000000008741e-21, blue=-93.0, delta=1.0
P=8.930000000008931e-21, blue=-94.0, delta=1.0
P=9.120000000009119e-21, blue=-95.0, delta=1.0
P=9.312000000009313e-21, blue=-96.0, delta=1.0
P=9.506000000009506e-21, blue=-97.0, delta=1.0
P=9.702000000009702e-21, blue=-98.0, delta=1.0
P=9.9000000000099e-21, blue=-99.0, delta=1.0
P=1.01000000000101e-20, blue=-100.0, delta=1.0
P=1.0302000000010301e-20, blue=-101.0, delta=1.0
P=1.0506000000010507e-20, blue=-102.0, delta=1.0
P=1.0712000000010712e-20, blue=-103.0, delta=1.0
P=1.092000000001092e-20, blue=-104.0, delta=1.0
P=1.113000000001113e-20, blue=-105.0, delta=1.0
P=1.134200000001134e-20, blue=-106.0, delta=1.0
P=1.1556000000011557e-20, blue=-107.0, delta=1.0
P=1.1772000000011773e-20, blue=-108.0, delta=1.0
P=1.199000000001199e-20, blue=-109.0, delta=1.0
P=1.221000000001221e-20, blue=-110.0, delta=1.0
P=1.2432000000012433e-20, blue=-111.0, delta=1.0
P=1.2656000000012656e-20, blue=-112.0, delta=1.0
P=1.2882000000012882e-20, blue=-113.0, delta=1.0
P=1.3110000000013109e-20, blue=-114.0, delta=1.0
P=1.334000000001334e-20, blue=-115.0, delta=1.0
P=1.3572000000013573e-20, blue=-116.0, delta=1.0
P=1.380600000001381e-20, blue=-117.0, delta=1.0
P=1.404200000001404e-20, blue=-118.0, delta=1.0
P=1.428000000001428e-20, blue=-119.0, delta=1.0
P=1.452000000001452e-20, blue=-120.0, delta=1.0
P=1.476200000001476e-20, blue=-121.0, delta=1.0
P=1.5006000000015005e-20, blue=-122.0, delta=1.0
P=1.5252000000015253e-20, blue=-123.0, delta=1.0
P=1.55000000000155e-20, blue=-124.0, delta=1.0
P=1.575000000001575e-20, blue=-125.0, delta=1.0
P=1.6002000000016003e-20, blue=-126.0, delta=1.0
P=1.6256000000016256e-20, blue=-127.0, delta=1.0
P=1.6512000000016513e-20, blue=-128.0, delta=1.0
P=1.6770000000016768e-20, blue=-129.0, delta=1.0
P=1.7030000000017028e-20, blue=-130.0, delta=1.0
P=1.7292000000017293e-20, blue=-131.0, delta=1.0
P=1.7556000000017557e-20, blue=-132.0, delta=1.0
P=1.7822000000017825e-20, blue=-133.0, delta=1.0
P=1.8090000000018092e-20, blue=-134.0, delta=1.0
P=1.8360000000018357e-20, blue=-135.0, delta=1.0
P=1.863200000001863e-20, blue=-136.0, delta=1.0
P=1.8906000000018905e-20, blue=-137.0, delta=1.0
P=1.918200000001918e-20, blue=-138.0, delta=1.0
P=1.9460000000019462e-20, blue=-139.0, delta=1.0
P=1.9740000000019744e-20, blue=-140.0, delta=1.0
P=2.0022000000020022e-20, blue=-141.0, delta=1.0
P=2.0306000000020305e-20, blue=-142.0, delta=1.0
P=2.0592000000020593e-20, blue=-143.0, delta=1.0
P=2.088000000002088e-20, blue=-144.0, delta=1.0
P=2.117000000002117e-20, blue=-145.0, delta=1.0
P=2.1462000000021462e-20, blue=-146.0, delta=1.0
P=2.1756000000021756e-20, blue=-147.0, delta=1.0
P=2.205200000002205e-20, blue=-148.0, delta=1.0
P=2.235000000002235e-20, blue=-149.0, delta=1.0
P=2.265000000002265e-20, blue=-150.0, delta=1.0
P=2.2952000000022954e-20, blue=-151.0, delta=1.0
P=2.3256000000023253e-20, blue=-152.0, delta=1.0
P=2.356200000002356e-20, blue=-153.0, delta=1.0
P=2.387000000002387e-20, blue=-154.0, delta=1.0
P=2.418000000002418e-20, blue=-155.0, delta=1.0
P=2.4492000000024493e-20, blue=-156.0, delta=1.0
P=2.4806000000024803e-20, blue=-157.0, delta=1.0
P=2.512200000002512e-20, blue=-158.0, delta=1.0
P=2.5440000000025437e-20, blue=-159.0, delta=1.0
P=2.576000000002576e-20, blue=-160.0, delta=1.0
P=2.6082000000026084e-20, blue=-161.0, delta=1.0
P=2.640600000002641e-20, blue=-162.0, delta=1.0
P=2.6732000000026732e-20, blue=-163.0, delta=1.0
P=2.706000000002706e-20, blue=-164.0, delta=1.0
P=2.739000000002739e-20, blue=-165.0, delta=1.0
P=2.772200000002772e-20, blue=-166.0, delta=1.0
P=2.805600000002806e-20, blue=-167.0, delta=1.0
P=2.8392000000028387e-20, blue=-168.0, delta=1.0
P=2.873000000002873e-20, blue=-169.0, delta=1.0
P=2.907000000002907e-20, blue=-170.0, delta=1.0
P=2.941200000002941e-20, blue=-171.0, delta=1.0
P=2.975600000002976e-20, blue=-172.0, delta=1.0
P=3.0102000000030103e-20, blue=-173.0, delta=1.0
P=3.045000000003045e-20, blue=-174.0, delta=1.0
P=3.0800000000030796e-20, blue=-175.0, delta=1.0
P=3.1152000000031155e-20, blue=-176.0, delta=1.0
P=3.150600000003151e-20, blue=-177.0, delta=1.0
P=3.1862000000031864e-20, blue=-178.0, delta=1.0
P=3.222000000003222e-20, blue=-179.0, delta=1.0
P=3.258000000003258e-20, blue=-180.0, delta=1.0
P=3.2942000000032943e-20, blue=-181.0, delta=1.0
P=3.3306000000033307e-20, blue=-182.0, delta=1.0
P=3.367200000003367e-20, blue=-183.0, delta=1.0
P=3.4040000000034047e-20, blue=-184.0, delta=1.0
P=3.441000000003441e-20, blue=-185.0, delta=1.0
P=3.478200000003478e-20, blue=-186.0, delta=1.0
P=3.5156000000035155e-20, blue=-187.0, delta=1.0
P=3.5532000000035534e-20, blue=-188.0, delta=1.0
P=3.591000000003591e-20, blue=-189.0, delta=1.0
P=3.629000000003629e-20, blue=-190.0, delta=1.0
P=3.6672000000036675e-20, blue=-191.0, delta=1.0
P=3.705600000003706e-20, blue=-192.0, delta=1.0
P=3.7442000000037444e-20, blue=-193.0, delta=1.0
P=3.783000000003783e-20, blue=-194.0, delta=1.0
P=3.822000000003822e-20, blue=-195.0, delta=1.0
P=3.8612000000038606e-20, blue=-196.0, delta=1.0
P=3.9006000000039e-20, blue=-197.0, delta=1.0
P=3.94020000000394e-20, blue=-198.0, delta=1.0
P=3.9800000000039804e-20, blue=-199.0, delta=1.0
P=4.02000000000402e-20, blue=-200.0, delta=1.0
P=4.06020000000406e-20, blue=-201.0, delta=1.0
P=4.100600000004101e-20, blue=-202.0, delta=1.0
P=4.1412000000041413e-20, blue=-203.0, delta=1.0
P=4.182000000004182e-20, blue=-204.0, delta=1.0
P=4.223000000004223e-20, blue=-205.0, delta=1.0
P=4.264200000004265e-20, blue=-206.0, delta=1.0
P=4.3056000000043055e-20, blue=-207.0, delta=1.0
P=4.347200000004347e-20, blue=-208.0, delta=1.0
P=4.389000000004389e-20, blue=-209.0, delta=1.0
P=4.431000000004431e-20, blue=-210.0, delta=1.0
P=4.4732000000044735e-20, blue=-211.0, delta=1.0
P=4.5156000000045153e-20, blue=-212.0, delta=1.0
P=4.5582000000045576e-20, blue=-213.0, delta=1.0
P=4.601000000004601e-20, blue=-214.0, delta=1.0
P=4.644000000004644e-20, blue=-215.0, delta=1.0
P=4.687200000004687e-20, blue=-216.0, delta=1.0
P=4.7306000000047307e-20, blue=-217.0, delta=1.0
P=4.774200000004774e-20, blue=-218.0, delta=1.0
P=4.818000000004818e-20, blue=-219.0, delta=1.0
P=4.8620000000048616e-20, blue=-220.0, delta=1.0
P=4.9062000000049064e-20, blue=-221.0, delta=1.0
P=4.950600000004951e-20, blue=-222.0, delta=1.0
P=4.9952000000049956e-20, blue=-223.0, delta=1.0
P=5.04000000000504e-20, blue=-224.0, delta=1.0
P=5.085000000005085e-20, blue=-225.0, delta=1.0
P=5.13020000000513e-20, blue=-226.0, delta=1.0
P=5.175600000005176e-20, blue=-227.0, delta=1.0
P=5.2212000000052214e-20, blue=-228.0, delta=1.0
P=5.267000000005267e-20, blue=-229.0, delta=1.0
P=5.313000000005313e-20, blue=-230.0, delta=1.0
P=5.359200000005359e-20, blue=-231.0, delta=1.0
P=5.405600000005405e-20, blue=-232.0, delta=1.0
P=5.452200000005453e-20, blue=-233.0, delta=1.0
P=5.499000000005499e-20, blue=-234.0, delta=1.0
P=5.546000000005547e-20, blue=-235.0, delta=1.0
P=5.593200000005593e-20, blue=-236.0, delta=1.0
P=5.640600000005641e-20, blue=-237.0, delta=1.0
P=5.688200000005689e-20, blue=-238.0, delta=1.0
P=5.736000000005735e-20, blue=-239.0, delta=1.0
P=5.784000000005784e-20, blue=-240.0, delta=1.0
P=5.832200000005831e-20, blue=-241.0, delta=1.0
P=5.880600000005881e-20, blue=-242.0, delta=1.0
P=5.92920000000593e-20, blue=-243.0, delta=1.0
P=5.978000000005978e-20, blue=-244.0, delta=1.0
P=6.027000000006027e-20, blue=-245.0, delta=1.0
P=6.076200000006075e-20, blue=-246.0, delta=1.0
P=6.125600000006125e-20, blue=-247.0, delta=1.0
P=6.175200000006175e-20, blue=-248.0, delta=1.0
P=6.225000000006225e-20, blue=-249.0, delta=1.0
P=6.275000000006276e-20, blue=-250.0, delta=1.0
P=6.325200000006325e-20, blue=-251.0, delta=1.0
P=6.375600000006377e-20, blue=-252.0, delta=1.0
P=6.426200000006426e-20, blue=-253.0, delta=1.0
P=6.477000000006476e-20, blue=-254.0, delta=1.0
P=6.528000000006528e-20, blue=-255.0, delta=1.0
P=6.579200000006578e-20, blue=-256.0, delta=1.0
P=6.630600000006631e-20, blue=-257.0, delta=1.0
P=6.682200000006682e-20, blue=-258.0, delta=1.0
P=6.734000000006733e-20, blue=-259.0, delta=1.0
P=6.786000000006786e-20, blue=-260.0, delta=1.0
P=6.838200000006837e-20, blue=-261.0, delta=1.0
P=6.890600000006892e-20, blue=-262.0, delta=1.0
P=6.943200000006944e-20, blue=-263.0, delta=1.0
P=6.996000000006998e-20, blue=-264.0, delta=1.0
P=7.049000000007049e-20, blue=-265.0, delta=1.0
P=7.102200000007103e-20, blue=-266.0, delta=1.0
P=7.155600000007156e-20, blue=-267.0, delta=1.0
P=7.209200000007209e-20, blue=-268.0, delta=1.0
P=7.263000000007264e-20, blue=-269.0, delta=1.0
P=7.317000000007317e-20, blue=-270.0, delta=1.0
P=7.371200000007371e-20, blue=-271.0, delta=1.0
P=7.425600000007426e-20, blue=-272.0, delta=1.0
P=7.48020000000748e-20, blue=-273.0, delta=1.0
P=7.535000000007535e-20, blue=-274.0, delta=1.0
P=7.59000000000759e-20, blue=-275.0, delta=1.0
P=7.645200000007644e-20, blue=-276.0, delta=1.0
P=7.700600000007701e-20, blue=-277.0, delta=1.0
P=7.756200000007757e-20, blue=-278.0, delta=1.0
P=7.812000000007814e-20, blue=-279.0, delta=1.0
P=7.868000000007869e-20, blue=-280.0, delta=1.0
P=7.924200000007925e-20, blue=-281.0, delta=1.0
P=7.980600000007981e-20, blue=-282.0, delta=1.0
P=8.037200000008036e-20, blue=-283.0, delta=1.0
P=8.094000000008095e-20, blue=-284.0, delta=1.0
P=8.15100000000815e-20, blue=-285.0, delta=1.0
P=8.208200000008209e-20, blue=-286.0, delta=1.0
P=8.265600000008265e-20, blue=-287.0, delta=1.0
P=8.323200000008322e-20, blue=-288.0, delta=1.0
P=8.381000000008381e-20, blue=-289.0, delta=1.0
P=8.439000000008438e-20, blue=-290.0, delta=1.0
P=8.497200000008497e-20, blue=-291.0, delta=1.0
P=8.555600000008557e-20, blue=-292.0, delta=1.0
P=8.614200000008614e-20, blue=-293.0, delta=1.0
P=8.673000000008674e-20, blue=-294.0, delta=1.0
P=8.732000000008732e-20, blue=-295.0, delta=1.0
P=8.791200000008792e-20, blue=-296.0, delta=1.0
P=8.85060000000885e-20, blue=-297.0, delta=1.0
P=8.910200000008909e-20, blue=-298.0, delta=1.0
P=8.97000000000897e-20, blue=-299.0, delta=1.0
P=9.030000000009029e-20, blue=-300.0, delta=1.0
P=9.090200000009091e-20, blue=-301.0, delta=1.0
P=9.15060000000915e-20, blue=-302.0, delta=1.0
P=9.211200000009211e-20, blue=-303.0, delta=1.0
P=9.272000000009272e-20, blue=-304.0, delta=1.0
P=9.333000000009332e-20, blue=-305.0, delta=1.0
P=9.394200000009394e-20, blue=-306.0, delta=1.0
P=9.455600000009456e-20, blue=-307.0, delta=1.0
P=9.517200000009519e-20, blue=-308.0, delta=1.0
P=9.57900000000958e-20, blue=-309.0, delta=1.0
P=9.641000000009641e-20, blue=-310.0, delta=1.0
P=9.703200000009704e-20, blue=-311.0, delta=1.0
P=9.765600000009766e-20, blue=-312.0, delta=1.0
